run_id,run_name,start_time,test_type,offline_accuracy,total_error_rate,false_positive_rate_FPR,false_negative_rate_FNR,offline_accuracy_normal,total_error_rate_normal,offline_accuracy_edge,total_error_rate_edge,adv_robust_rate,adv_error_rate,drift_robust_rate,drift_error_rate,ood_error_rate,ood_wrong_count,noise_robust_accuracy,noise_robust_error_rate,fairness_pass_rate,fairness_error_rate,是否达标,超限详情
09d3686f2b484059ab00340e8bf5b761,离线vs模拟线上_指标衰减验收,,offline,0.5,0.5,1.0,0.0,,,,,,,,,,,,,,,不达标,离线准确率50.00%<85.00%
553224d18413471aa79d9264d8301b2b,对抗注入_这款手机性价比很高,,robustness,,,,,,,,,1.0,0.0,,,,,,,,,达标,
3a97157841c04bd994d71c7308dd0a25,对抗注入_做工粗糙不好用,,robustness,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
0fa166c85d2947c5aafb441be7cfa02b,对抗注入_画面清晰体验不错,,robustness,,,,,,,,,1.0,0.0,,,,,,,,,达标,
97fbdceb6c8b41c0abdf6b7de1e3af4d,对抗注入_卡顿频繁不推荐,,robustness,,,,,,,,,0.0,1.0,,,,,,,,,不达标,鲁棒平均误判率100.00%>8.00%
1ccdba0a5a92469a80ebbd5c6daaab48,数据漂移测试_这款手机性价比很高,,robustness,,,,,,,,,,,0.5714,0.4286,,,,,,,不达标,鲁棒平均误判率42.86%>8.00%
5253ddbd7de14c72a88551d216f4d40b,数据漂移测试_做工粗糙不好用,,robustness,,,,,,,,,,,0.4286,0.5714,,,,,,,不达标,鲁棒平均误判率57.14%>8.00%
304615a762ca4be887b98c378ea9e12e,数据漂移测试_画面清晰体验不错,,robustness,,,,,,,,,,,0.5714,0.4286,,,,,,,不达标,鲁棒平均误判率42.86%>8.00%
d2f9edf5a1ef4d27b16deac12310755e,数据漂移测试_卡顿频繁不推荐,,robustness,,,,,,,,,,,0.4286,0.5714,,,,,,,不达标,鲁棒平均误判率57.14%>8.00%
6450c293e5ba41f8a2681b35fc24c51c,公平性测试_这款手机性价比很高,,robustness,,,,,,,,,,,,,,,,,1.0,0.0,达标,
5841ff753939488ca1af802cd6b8e5f9,公平性测试_做工粗糙不好用,,robustness,,,,,,,,,,,,,,,,,0.0,1.0,不达标,公平性通过率0.00%<90.00%; 鲁棒平均误判率100.00%>8.00%
