"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jun 11 14:24:49 CST 2026","Thu Jun 11 14:24:49 CST 2026","0","tests.robustness","test_adv_injection","","","","对抗注入测试：做工粗糙不好用",""
"broken","Thu Jun 11 14:24:51 CST 2026","Thu Jun 11 14:24:51 CST 2026","0","tests.robustness","test_fairness","","","","公平性合规测试：这款手机性价比很高",""
"broken","Thu Jun 11 14:24:53 CST 2026","Thu Jun 11 14:24:53 CST 2026","0","tests.robustness","test_ood_sample","","","","OOD测试：这款手机性价比很高",""
"broken","Thu Jun 11 14:24:51 CST 2026","Thu Jun 11 14:24:51 CST 2026","0","tests.robustness","test_fairness","","","","公平性合规测试：做工粗糙不好用",""
"broken","Thu Jun 11 14:24:53 CST 2026","Thu Jun 11 14:24:53 CST 2026","0","tests.robustness","test_ood_sample","","","","OOD测试：画面清晰体验不错",""
"passed","Thu Jun 11 14:24:54 CST 2026","Thu Jun 11 14:24:56 CST 2026","1832","tests.metrics","test_99_final_attach_csv","","","","test_final_summary_attach",""
"broken","Thu Jun 11 14:24:50 CST 2026","Thu Jun 11 14:24:50 CST 2026","0","tests.robustness","test_adv_injection","","","","对抗注入测试：卡顿频繁不推荐",""
"broken","Thu Jun 11 14:24:52 CST 2026","Thu Jun 11 14:24:52 CST 2026","0","tests.robustness","test_noise_input","","","","测试脏输入鲁棒性：画面清晰体验不错",""
"broken","Thu Jun 11 14:24:53 CST 2026","Thu Jun 11 14:24:53 CST 2026","0","tests.robustness","test_ood_sample","","","","OOD测试：做工粗糙不好用",""
"broken","Thu Jun 11 14:24:52 CST 2026","Thu Jun 11 14:24:52 CST 2026","0","tests.robustness","test_fairness","","","","公平性合规测试：卡顿频繁不推荐",""
"broken","Thu Jun 11 14:24:49 CST 2026","Thu Jun 11 14:24:49 CST 2026","0","tests.robustness","test_adv_injection","","","","对抗注入测试：画面清晰体验不错",""
"broken","Thu Jun 11 14:24:49 CST 2026","Thu Jun 11 14:24:49 CST 2026","0","tests.robustness","test_adv_injection","","","","对抗注入测试：这款手机性价比很高",""
"broken","Thu Jun 11 14:24:50 CST 2026","Thu Jun 11 14:24:50 CST 2026","0","tests.robustness","test_data_drift","","","","数据偏移测试：做工粗糙不好用",""
"broken","Thu Jun 11 14:24:54 CST 2026","Thu Jun 11 14:24:54 CST 2026","0","tests.robustness","test_ood_sample","","","","OOD测试：卡顿频繁不推荐",""
"broken","Thu Jun 11 14:24:53 CST 2026","Thu Jun 11 14:24:53 CST 2026","0","tests.robustness","test_noise_input","","","","测试脏输入鲁棒性：卡顿频繁不推荐",""
"broken","Thu Jun 11 14:24:51 CST 2026","Thu Jun 11 14:24:51 CST 2026","0","tests.robustness","test_data_drift","","","","数据偏移测试：卡顿频繁不推荐",""
"broken","Thu Jun 11 14:24:50 CST 2026","Thu Jun 11 14:24:50 CST 2026","0","tests.robustness","test_data_drift","","","","数据偏移测试：画面清晰体验不错",""
"broken","Thu Jun 11 14:24:52 CST 2026","Thu Jun 11 14:24:52 CST 2026","0","tests.robustness","test_noise_input","","","","测试脏输入鲁棒性：做工粗糙不好用",""
"broken","Thu Jun 11 14:24:52 CST 2026","Thu Jun 11 14:24:52 CST 2026","0","tests.robustness","test_noise_input","","","","测试脏输入鲁棒性：这款手机性价比很高",""
"broken","Thu Jun 11 14:24:50 CST 2026","Thu Jun 11 14:24:50 CST 2026","0","tests.robustness","test_data_drift","","","","数据偏移测试：这款手机性价比很高",""
"broken","Thu Jun 11 14:24:49 CST 2026","Thu Jun 11 14:24:49 CST 2026","0","tests.metrics","test_offline_model_metric","","","","离线vs模拟线上API：准确率&误判率衰减核算",""
"broken","Thu Jun 11 14:24:51 CST 2026","Thu Jun 11 14:24:51 CST 2026","0","tests.robustness","test_fairness","","","","公平性合规测试：画面清晰体验不错",""
